ID,Słowo (Angielski),Tłumaczenie (Polski),Wymowa UK (IPA),Wymowa US (IPA)
1403,coach,trener,/kəʊtʃ/,/koʊtʃ/
1404,coal,węgiel,/kəʊl/,/koʊl/
1405,code,kod,/kəʊd/,/koʊd/
1406,coin,moneta,/kɔɪn/,/kɔɪn/
1407,coldly,zimno,/ˈkəʊldli/,/ˈkoʊldli/
1408,collapse,zawalić się,/kəˈlæps/,/kəˈlæps/
1409,colleague,kolega,/ˈkɒliːɡ/,/ˈkɑːliːɡ/
1410,collection,kolekcja,/kəˈlekʃən/,/kəˈlekʃən/
1411,college,kolegium,/ˈkɒlɪdʒ/,/ˈkɑːlɪdʒ/
1412,coloured,kolorowy,/ˈkʌləd/,/ˈkʌlərd/
1413,combination,kombinacja,/ˌkɒmbɪˈneɪʃən/,/ˌkɑːmbɪˈneɪʃən/
1414,combine,łączyć,/kəmˈbaɪn/,/kəmˈbaɪn/
1415,comedy,komedia,/ˈkɒmədi/,/ˈkɑːmədi/
1416,comfort,komfort,/ˈkʌmfət/,/ˈkʌmfərt/
1417,comfortable,wygodny,/ˈkʌmftəbəl/,/ˈkʌmfərtəbəl/
1418,command,rozkaz,/kəˈmɑːnd/,/kəˈmænd/
1419,comment,komentarz,/ˈkɒment/,/ˈkɑːment/
1420,commercial,handlowy,/kəˈmɜːʃəl/,/kəˈmɜːrʃəl/
1421,commission,prowizja,/kəˈmɪʃən/,/kəˈmɪʃən/
1422,commit,popełnić,/kəˈmɪt/,/kəˈmɪt/
1423,commitment,zaangażowanie,/kəˈmɪtmənt/,/kəˈmɪtmənt/
1424,committee,komitet,/kəˈmɪti/,/kəˈmɪti/
1425,commonly,powszechnie,/ˈkɒmənli/,/ˈkɑːmənli/
1426,communicate,komunikować,/kəˈmjuːnɪkeɪt/,/kəˈmjuːnɪkeɪt/
1427,communication,komunikacja,/kəˌmjuːnɪˈkeɪʃən/,/kəˌmjuːnɪˈkeɪʃən/
1428,community,społeczność,/kəˈmjuːnəti/,/kəˈmjuːnəti/
1429,comparison,porównanie,/kəmˈpærɪsən/,/kəmˈpærɪsən/
1430,compete,konkurować,/kəmˈpiːt/,/kəmˈpiːt/
1431,competition,konkurencja,/ˌkɒmpəˈtɪʃən/,/ˌkɑːmpəˈtɪʃən/
1432,competitive,konkurencyjny,/kəmˈpetətɪv/,/kəmˈpetətɪv/
1433,complain,narzekać,/kəmˈpleɪn/,/kəmˈpleɪn/
1434,complaint,skarga,/kəmˈpleɪnt/,/kəmˈpleɪnt/
1435,completely,całkowicie,/kəmˈpliːtli/,/kəmˈpliːtli/
1436,complex,złożony,/ˈkɒmpleks/,/ˈkɑːmpleks/
1437,complicate,komplikować,/ˈkɒmplɪkeɪt/,/ˈkɑːmplɪkeɪt/
1438,complicated,skomplikowany,/ˈkɒmplɪkeɪtɪd/,/ˈkɑːmplɪkeɪtɪd/
1439,component,składnik,/kəmˈpəʊnənt/,/kəmˈpoʊnənt/
1440,concentrate,koncentrować się,/ˈkɒnsəntreɪt/,/ˈkɑːnsəntreɪt/
1441,concentration,koncentracja,/ˌkɒnsənˈtreɪʃən/,/ˌkɑːnsənˈtreɪʃən/
1442,concept,koncepcja,/ˈkɒnsept/,/ˈkɑːnsept/
1443,concern,troska,/kənˈsɜːn/,/kənˈsɜːrn/
1444,concerned,zaniepokojony,/kənˈsɜːnd/,/kənˈsɜːrnd/
1445,concerning,dotyczący,/kənˈsɜːnɪŋ/,/kənˈsɜːrnɪŋ/
1446,concert,koncert,/ˈkɒnsət/,/ˈkɑːnsərt/
1447,conclude,konkludować,/kənˈkluːd/,/kənˈkluːd/
1448,conclusion,wniosek,/kənˈkluːʒən/,/kənˈkluːʒən/
1449,concrete,beton,/ˈkɒŋkriːt/,/ˈkɑːnkriːt/
1450,conduct,prowadzić,/ˈkɒndʌkt/ (noun),/ˈkɑːndʌkt/ (noun)
1451,conference,konferencja,/ˈkɒnfərəns/,/ˈkɑːnfərəns/
1452,confidence,pewność siebie,/ˈkɒnfɪdəns/,/ˈkɑːnfɪdəns/
1453,confident,pewny siebie,/ˈkɒnfɪdənt/,/ˈkɑːnfɪdənt/
1454,confine,ograniczać,/kənˈfaɪn/,/kənˈfaɪn/
1455,confirm,potwierdzić,/kənˈfɜːm/,/kənˈfɜːrm/
1456,conflict,konflikt,/ˈkɒnflɪkt/ (noun),/ˈkɑːnflɪkt/ (noun)
1457,confront,konfrontować,/kənˈfrʌnt/,/kənˈfrʌnt/
1458,confuse,mylić,/kənˈfjuːz/,/kənˈfjuːz/
1459,confused,zdezorientowany,/kənˈfjuːzd/,/kənˈfjuːzd/
1460,confusing,mylący,/kənˈfjuːzɪŋ/,/kənˈfjuːzɪŋ/
1461,confusion,zamieszanie,/kənˈfjuːʒən/,/kənˈfjuːʒən/
1462,congratulate,gratulować,/kənˈɡrætʃəleɪt/,/kənˈɡrætʃəleɪt/
1463,congratulation,gratulacje,/kənˌɡrætʃəˈleɪʃən/,/kənˌɡrætʃəˈleɪʃən/
1464,congress,kongres,/ˈkɒŋɡres/,/ˈkɑːŋɡrəs/
1465,connection,połączenie,/kəˈnekʃən/,/kəˈnekʃən/
1466,conscious,świadomy,/ˈkɒnʃəs/,/ˈkɑːnʃəs/
1467,consequence,konsekwencja,/ˈkɒnsɪkwəns/,/ˈkɑːnsəkwens/
1468,conservative,konserwatywny,/kənˈsɜːvətɪv/,/kənˈsɜːrvətɪv/
1469,considerable,znaczny,/kənˈsɪdərəbəl/,/kənˈsɪdərəbəl/
1470,considerably,znacznie,/kənˈsɪdərəbli/,/kənˈsɪdərəbli/
1471,consideration,wzgląd,/kənˌsɪdəˈreɪʃən/,/kənˌsɪdəˈreɪʃən/
1472,consist,składać się,/kənˈsɪst/,/kənˈsɪst/
1473,consistent,spójny,/kənˈsɪstənt/,/kənˈsɪstənt/
1474,constant,stały,/ˈkɒnstənt/,/ˈkɑːnstənt/
1475,constantly,stale,/ˈkɒnstəntli/,/ˈkɑːnstəntli/
1476,construct,konstruować,/kənˈstrʌkt/,/kənˈstrʌkt/
1477,construction,konstrukcja,/kənˈstrʌkʃən/,/kənˈstrʌkʃən/
1478,consult,konsultować,/kənˈsʌlt/,/kənˈsʌlt/
1479,consumer,konsument,/kənˈsjuːmə(r)/,/kənˈsuːmər/
1480,contact,kontakt,/ˈkɒntækt/,/ˈkɑːntækt/
1481,container,pojemnik,/kənˈteɪnə(r)/,/kənˈteɪnər/
1482,contemporary,współczesny,/kənˈtempərəri/,/kənˈtempəreri/
1483,content,zawartość,/ˈkɒntent/ (noun),/ˈkɑːntent/ (noun)
1484,contest,konkurs,/ˈkɒntest/ (noun),/ˈkɑːntest/ (noun)
1485,context,kontekst,/ˈkɒntekst/,/ˈkɑːntekst/
1486,continuous,ciągły,/kənˈtɪnjuəs/,/kənˈtɪnjuəs/
1487,contract,kontrakt,/ˈkɒntrækt/ (noun),/ˈkɑːntrækt/ (noun)
1488,contrast,kontrast,/ˈkɒntrɑːst/ (noun),/ˈkɑːntræst/ (noun)
1489,contribute,przyczyniać się,/kənˈtrɪbjuːt/,/kənˈtrɪbjuːt/
1490,contribution,wkład,/ˌkɒntrɪˈbjuːʃən/,/ˌkɑːntrɪˈbjuːʃən/
1491,controlled,kontrolowany,/kənˈtrəʊld/,/kənˈtroʊld/
1492,convenient,wygodny,/kənˈviːniənt/,/kənˈviːniənt/
1493,convention,konwencja,/kənˈvenʃən/,/kənˈvenʃən/
1494,conventional,konwencjonalny,/kənˈvenʃənəl/,/kənˈvenʃənəl/
1495,conversation,rozmowa,/ˌkɒnvəˈseɪʃən/,/ˌkɑːnvərˈseɪʃən/
1496,convert,konwertować,/kənˈvɜːt/,/kənˈvɜːrt/
1497,convince,przekonywać,/kənˈvɪns/,/kənˈvɪns/
1498,cooker,kuchenka,/ˈkʊkə(r)/,/ˈkʊkər/
1499,cookie,ciasteczko,/ˈkʊki/,/ˈkʊki/
1500,cooking,gotowanie,/ˈkʊkɪŋ/,/ˈkʊkɪŋ/
1501,cope,radzić sobie,/kəʊp/,/koʊp/
1502,core,rdzeń,/kɔː(r)/,/kɔːr/
1503,correctly,poprawnie,/kəˈrektli/,/kəˈrektli/
1504,cottage,chata,/ˈkɒtɪdʒ/,/ˈkɑːtɪdʒ/
1505,cough,kaszel,/kɒf/,/kɔːf/
1506,council,"rada (miejska, organ) ",/ˈkaʊnsəl/,/ˈkaʊnsəl/
1507,counter,lada,/ˈkaʊntə(r)/,/ˈkaʊntər/
1508,countryside,wieś,/ˈkʌntrisaɪd/,/ˈkʌntrisaɪd/
1509,county,hrabstwo,/ˈkaʊnti/,/ˈkaʊnti/
1510,couple,para,/ˈkʌpəl/,/ˈkʌpəl/
1511,courage,odwaga,/ˈkʌrɪdʒ/,/ˈkɜːrɪdʒ/
1512,court,sąd,/kɔːt/,/kɔːrt/
1513,covered,przykryty,/ˈkʌvəd/,/ˈkʌvərd/
1514,covering,pokrycie,/ˈkʌvərɪŋ/,/ˈkʌvərɪŋ/
1515,crack,pęknięcie,/kræk/,/kræk/
1516,cracked,pęknięty,/krækt/,/krækt/
1517,craft,rzemiosło,/krɑːft/,/kræft/
1518,crash,wypadek,/kræʃ/,/kræʃ/
1519,crazy,szalony,/ˈkreɪzi/,/ˈkreɪzi/
1520,cream,śmietana,/kriːm/,/kriːm/
1521,creation,tworzenie,/kriˈeɪʃən/,/kriˈeɪʃən/
1522,creative,kreatywny,/kriˈeɪtɪv/,/kriˈeɪtɪv/
1523,creature,stworzenie,/ˈkriːtʃə(r)/,/ˈkriːtʃər/
1524,credit,kredyt,/ˈkredɪt/,/ˈkredɪt/
1525,crew,załoga,/kruː/,/kruː/
1526,crime,przestępstwo,/kraɪm/,/kraɪm/
1527,criminal,przestępca,/ˈkrɪmɪnəl/,/ˈkrɪmɪnəl/
1528,custom,zwyczaj,/ˈkʌstəm/,/ˈkʌstəm/
1529,customer,klient,/ˈkʌstəmə(r)/,/ˈkʌstəmər/
1530,damage,uszkodzenie/szkoda,/ˈdæmɪdʒ/,/ˈdæmɪdʒ/
1531,dangerous,niebezpieczny,/ˈdeɪndʒərəs/,/ˈdeɪndʒərəs/
1532,dare,ośmielać się,/deə(r)/,/der/
1533,data,dane,/ˈdeɪtə/,"/ˈdeɪtə/, /ˈdætə/"
1534,deal with,radzić sobie z,/diːl wɪð/,/diːl wɪθ/
1535,debate,debata,/dɪˈbeɪt/,/dɪˈbeɪt/
1536,debt,dług,/det/,/det/
1537,decade,dekada,/ˈdekeɪd/,/ˈdekeɪd/
1538,decent,przyzwoity,/ˈdiːsənt/,/ˈdiːsənt/
1539,declare,deklarować,/dɪˈkleə(r)/,/dɪˈkler/
1540,decline,spadek/odmawiać,/dɪˈklaɪn/,/dɪˈklaɪn/
1541,decorate,dekorować,/ˈdekəreɪt/,/ˈdekəreɪt/
1542,decrease,zmniejszać,/dɪˈkriːs/ (verb),/dɪˈkriːs/ (verb)
1543,dedicate,dedykować,/ˈdedɪkeɪt/,/ˈdedɪkeɪt/
1544,defeat,pokonać/porażka,/dɪˈfiːt/,/dɪˈfiːt/
1545,defend,bronić,/dɪˈfend/,/dɪˈfend/
1546,defense,obrona,/dɪˈfens/,/dɪˈfens/
1547,define,definiować,/dɪˈfaɪn/,/dɪˈfaɪn/
1548,definitely,zdecydowanie,/ˈdefɪnətli/,/ˈdefɪnətli/
1549,definition,definicja,/ˌdefɪˈnɪʃən/,/ˌdefɪˈnɪʃən/
1550,delay,opóźnienie,/dɪˈleɪ/,/dɪˈleɪ/
1551,deliberate,celowy,/dɪˈlɪbərət/,/dɪˈlɪbərət/
1552,delight,zachwyt,/dɪˈlaɪt/,/dɪˈlaɪt/
1553,deliver,dostarczać,/dɪˈlɪvə(r)/,/dɪˈlɪvər/
1554,demand,żądać/popyt,/dɪˈmɑːnd/,/dɪˈmænd/
1555,demonstrate,demonstrować,/ˈdemənstreɪt/,/ˈdemənstreɪt/
1556,deny,zaprzeczać,/dɪˈnaɪ/,/dɪˈnaɪ/
1557,department,dział/wydział,/dɪˈpɑːtmənt/,/dɪˈpɑːrtmənt/
1558,departure,odjazd/odlot,/dɪˈpɑːtʃə(r)/,/dɪˈpɑːrtʃər/
1559,deposit,kaucja/depozyt,/dɪˈpɒzɪt/,/dɪˈpɑːzət/
1560,depressed,przygnębiony,/dɪˈprest/,/dɪˈprest/
1561,depth,głębokość,/depθ/,/depθ/
1562,derive,czerpać/pochodzić,/dɪˈraɪv/,/dɪˈraɪv/
1563,deserve,zasługiwać,/dɪˈzɜːv/,/dɪˈzɜːrv/
1564,desire,pragnienie,/dɪˈzaɪə(r)/,/dɪˈzaɪər/
1565,desperate,zdesperowany,/ˈdespərət/,/ˈdespərət/
1566,despite,pomimo,/dɪˈspaɪt/,/dɪˈspaɪt/
1567,destination,cel podróży,/ˌdestɪˈneɪʃən/,/ˌdestɪˈneɪʃən/
1568,destroy,niszczyć,/dɪˈstrɔɪ/,/dɪˈstrɔɪ/
1569,detail,szczegół,/ˈdiːteɪl/,"/dɪˈteɪl/, /ˈdiːteɪl/"
1570,detect,wykrywać,/dɪˈtekt/,/dɪˈtekt/
1571,detective,detektyw,/dɪˈtektɪv/,/dɪˈtektɪv/
1573,development,rozwój,/dɪˈveləpmənt/,/dɪˈveləpmənt/
1574,device,urządzenie,/dɪˈvaɪs/,/dɪˈvaɪs/
1575,devote,poświęcać,/dɪˈvəʊt/,/dɪˈvoʊt/
1576,diagram,diagram,/ˈdaɪəɡræm/,/ˈdaɪəɡræm/
1577,dialogue,dialog,/ˈdaɪəlɒɡ/,/ˈdaɪəlɔːɡ/
1578,diamond,diament,/ˈdaɪəmənd/,/ˈdaɪəmənd/
1579,diary,pamiętnik,/ˈdaɪəri/,/ˈdaɪəri/
1581,difficulty,trudność,/ˈdɪfɪkəlti/,/ˈdɪfɪkəlti/
1582,dig,kopać,/dɪɡ/,/dɪɡ/
1583,digital,cyfrowy,/ˈdɪdʒɪtəl/,/ˈdɪdʒɪtəl/
1584,dimension,wymiar,/daɪˈmenʃən/,/dɪˈmenʃən/
1586,direction,kierunek,/daɪˈrekʃən/,/dɪˈrekʃən/
1587,director,reżyser/dyrektor,/daɪˈrektə(r)/,/dɪˈrektər/
1588,dirt,brud,/dɜːt/,/dɜːrt/
1589,disabled,niepełnosprawny,/dɪsˈeɪbəld/,/dɪsˈeɪbəld/
1590,disadvantage,wada,/ˌdɪsədˈvɑːntɪdʒ/,/ˌdɪsədˈvæntɪdʒ/
1591,disagree,nie zgadzać się,/ˌdɪsəˈɡriː/,/ˌdɪsəˈɡriː/
1592,disappear,znikać,/ˌdɪsəˈpɪə(r)/,/ˌdɪsəˈpɪr/
1593,disappoint,rozczarować,/ˌdɪsəˈpɔɪnt/,/ˌdɪsəˈpɔɪnt/
1594,disappointment,rozczarowanie,/ˌdɪsəˈpɔɪntmənt/,/ˌdɪsəˈpɔɪntmənt/
1595,disaster,katastrofa,/dɪˈzɑːstə(r)/,/dɪˈzæstər/
1596,discipline,dyscyplina,/ˈdɪsəplɪn/,/ˈdɪsəplɪn/
1597,discount,rabat,/ˈdɪskaʊnt/,/ˈdɪskaʊnt/
1598,discover,odkrywać,/dɪˈskʌvə(r)/,/dɪˈskʌvər/
1599,discovery,odkrycie,/dɪˈskʌvəri/,/dɪˈskʌvəri/
1600,disease,choroba,/dɪˈziːz/,/dɪˈziːz/
1601,disgusting,obrzydliwy,/dɪsˈɡʌstɪŋ/,/dɪsˈɡʌstɪŋ/
1602,dish,danie/naczynie,/dɪʃ/,/dɪʃ/
1603,disk,dysk,/dɪsk/,/dɪsk/
1604,dismiss,zwolnić/odrzucić,/dɪsˈmɪs/,/dɪsˈmɪs/
1605,display,wyświetlać/wystawa,/dɪˈspleɪ/,/dɪˈspleɪ/
1606,distance,odległość,/ˈdɪstəns/,/ˈdɪstəns/
1607,distinct,wyraźny/odmienny,/dɪˈstɪŋkt/,/dɪˈstɪŋkt/
1608,distinguish,rozróżniać,/dɪˈstɪŋɡwɪʃ/,/dɪˈstɪŋɡwɪʃ/
1609,distribute,rozprowadzać,/dɪˈstrɪbjuːt/,/dɪˈstrɪbjuːt/
1610,district,dzielnica,/ˈdɪstrɪkt/,/ˈdɪstrɪkt/
1611,disturb,przeszkadzać,/dɪˈstɜːb/,/dɪˈstɜːrb/
1612,dive,nurkować,/daɪv/,/daɪv/
1613,diverse,zróżnicowany,/daɪˈvɜːs/,/daɪˈvɜːrs/
1614,document,dokument,/ˈdɒkjəmənt/ (noun),/ˈdɑːkjəmənt/ (noun)
1615,domestic,krajowy/domowy,/dəˈmestɪk/,/dəˈmestɪk/
1616,dominate,dominować,/ˈdɒmɪneɪt/,/ˈdɑːmɪneɪt/
1617,donate,przekazać darowiznę,/dəʊˈneɪt/,/ˈdoʊneɪt/
1618,dot,kropka,/dɒt/,/dɑːt/
1619,doubt,wątpliwość,/daʊt/,/daʊt/
1620,draft,szkic/wersja robocza,/drɑːft/,/dræft/
1621,drag,ciągnąć,/dræɡ/,/dræɡ/
1622,drama,dramat,/ˈdrɑːmə/,/ˈdrɑːmə/
1623,dramatic,dramatyczny,/drəˈmætɪk/,/drəˈmætɪk/
1625,drawing,rysunek,/ˈdrɔːɪŋ/,/ˈdrɔːɪŋ/
1626,due to,z powodu,/djuː tuː/,/duː tuː/
1627,dull,nudny/matowy,/dʌl/,/dʌl/
1628,dump,wyrzucać/wysypisko,/dʌmp/,/dʌmp/
1629,dust,kurz,/dʌst/,/dʌst/
1630,duty,obowiązek,/ˈdjuːti/,/ˈduːti/
1631,dynamic,dynamiczny,/daɪˈnæmɪk/,/daɪˈnæmɪk/
1632,eager,chętny/niecierpliwy,/ˈiːɡə(r)/,/ˈiːɡər/
1633,earthquake,trzęsienie ziemi,/ˈɜːθkweɪk/,/ˈɜːrθkweɪk/
1635,eastern,wschodni,/ˈiːstən/,/ˈiːstərn/
1636,economic,ekonomiczny,/ˌiːkəˈnɒmɪk/,/ˌekəˈnɑːmɪk/
1637,economics,ekonomia,/ˌiːkəˈnɒmɪks/,/ˌekəˈnɑːmɪks/
1638,economy,gospodarka,/ɪˈkɒnəmi/,/ɪˈkɑːnəmi/
1639,edition,wydanie,/ɪˈdɪʃən/,/ɪˈdɪʃən/
1640,editor,redaktor,/ˈedɪtə(r)/,/ˈedɪtər/
1641,educate,edukować,/ˈedʒukeɪt/,/ˈedʒukeɪt/
1642,education,edukacja,/ˌedʒuˈkeɪʃən/,/ˌedʒuˈkeɪʃən/
1643,effective,skuteczny,/ɪˈfektɪv/,/ɪˈfektɪv/
1644,efficient,wydajny,/ɪˈfɪʃənt/,/ɪˈfɪʃənt/
1645,effort,wysiłek,/ˈefət/,/ˈefərt/
1646,elect,wybierać,/ɪˈlekt/,/ɪˈlekt/
1647,election,wybory,/ɪˈlekʃən/,/ɪˈlekʃən/
1648,elegant,elegancki,/ˈelɪɡənt/,/ˈelɪɡənt/
1649,elsewhere,gdzie indziej,/ˌelsˈweə(r)/,/ˌelsˈwer/
1650,embarrassed,zawstydzony,/ɪmˈbærəst/,/ɪmˈbærəst/
1651,emerge,pojawić się/wyłonić,/ɪˈmɜːdʒ/,/ɪˈmɜːrdʒ/
1652,emergency,nagły wypadek,/ɪˈmɜːdʒənsi/,/ɪˈmɜːrdʒənsi/
1653,emotion,emocja,/ɪˈməʊʃən/,/ɪˈmoʊʃən/
1654,emphasis,nacisk,/ˈemfəsɪs/,/ˈemfəsɪs/
1655,emphasize,podkreślać,/ˈemfəsaɪz/,/ˈemfəsaɪz/
1656,empire,imperium,/ˈempaɪə(r)/,/ˈempaɪər/
1657,employee,pracownik,/ɪmˈplɔɪiː/,/emˈplɔɪiː/
1658,employer,pracodawca,/ɪmˈplɔɪə(r)/,/ɪmˈplɔɪər/
1659,employment,zatrudnienie,/ɪmˈplɔɪmənt/,/ɪmˈplɔɪmənt/
1660,empty,pusty,/ˈempti/,/ˈempti/
1661,enable,umożliwiać,/ɪˈneɪbəl/,/ɪˈneɪbəl/
1662,encounter,napotkać,/ɪnˈkaʊntə(r)/,/ɪnˈkaʊntər/
1663,encourage,zachęcać,/ɪnˈkʌrɪdʒ/,/ɪnˈkɜːrɪdʒ/
1664,ending,zakończenie,/ˈendɪŋ/,/ˈendɪŋ/
1665,endless,nieskończony,/ˈendləs/,/ˈendləs/
1667,engage,angażować,/ɪnˈɡeɪdʒ/,/ɪnˈɡeɪdʒ/
1668,enhance,ulepszać,/ɪnˈhɑːns/,/ɪnˈhæns/
1669,enjoy,cieszyć się,/ɪnˈdʒɔɪ/,/ɪnˈdʒɔɪ/
1670,enormous,ogromny,/ɪˈnɔːməs/,/ɪˈnɔːrməs/
1671,ensure,zapewnić,/ɪnˈʃʊə(r)/,/ɪnˈʃʊr/
1672,enterprise,przedsiębiorstwo,/ˈentəpraɪz/,/ˈentərpraɪz/
1673,entertain,zabawiać,/ˌentəˈteɪn/,/ˌentərˈteɪn/
1674,enthusiasm,entuzjazm,/ɪnˈθjuːziæzəm/,/ɪnˈθuːziæzəm/
1675,entire,cały,/ɪnˈtaɪə(r)/,/ɪnˈtaɪər/
1676,entitle,uprawniać,/ɪnˈtaɪtəl/,/ɪnˈtaɪtəl/
1677,entrance,wejście,/ˈentrəns/,/ˈentrəns/
1678,environment,środowisko,/ɪnˈvaɪrənmənt/,/ɪnˈvaɪrənmənt/
1680,equipment,sprzęt,/ɪˈkwɪpmənt/,/ɪˈkwɪpmənt/
1681,equivalent,odpowiednik,/ɪˈkwɪvələnt/,/ɪˈkwɪvələnt/
1682,era,era,/ˈɪərə/,/ˈerə/
1683,error,błąd,/ˈerə(r)/,/ˈerər/
1684,escape,ucieczka,/ɪˈskeɪp/,/ɪˈskeɪp/
1686,essay,esej/wypracowanie,/ˈeseɪ/,/ˈeseɪ/
1687,essential,niezbędny,/ɪˈsenʃəl/,/ɪˈsenʃəl/
1688,establish,ustanowić,/ɪˈstæblɪʃ/,/ɪˈstæblɪʃ/
1689,estate,posiadłość/majątek,/ɪˈsteɪt/,/ɪˈsteɪt/
1690,estimate,szacować,/ˈestɪmeɪt/ (verb),/ˈestɪmeɪt/ (verb)
1691,ethical,etyczny,/ˈeθɪkəl/,/ˈeθɪkəl/
1692,ethnic,etniczny,/ˈeθnɪk/,/ˈeθnɪk/
1693,evaluate,oceniać,/ɪˈvæljueɪt/,/ɪˈvæljueɪt/
1694,eventually,ostatecznie,/ɪˈventʃuəli/,/ɪˈventʃuəli/
1695,evidence,dowód,/ˈevɪdəns/,/ˈevɪdəns/
1696,evil,zło/zły,/ˈiːvəl/,/ˈiːvəl/
1697,evolution,ewolucja,/ˌiːvəˈluːʃən/,/ˌevəˈluːʃən/
1698,evolve,ewoluować,/ɪˈvɒlv/,/ɪˈvɑːlv/
1699,exaggerate,przesadzać,/ɪɡˈzædʒəreɪt/,/ɪɡˈzædʒəreɪt/
1700,exam,egzamin,/ɪɡˈzæm/,/ɪɡˈzæm/
1701,examine,badać,/ɪɡˈzæmɪn/,/ɪɡˈzæmɪn/
1702,exceed,przekraczać,/ɪkˈsiːd/,/ɪkˈsiːd/
1703,excellent,doskonały,/ˈeksələnt/,/ˈeksələnt/
1704,exception,wyjątek,/ɪkˈsepʃən/,/ɪkˈsepʃən/
1705,exchange,wymiana,/ɪksˈtʃeɪndʒ/,/ɪksˈtʃeɪndʒ/
1706,excited,podekscytowany,/ɪkˈsaɪtɪd/,/ɪkˈsaɪtɪd/
1707,excitement,ekscytacja,/ɪkˈsaɪtmənt/,/ɪkˈsaɪtmənt/
1708,exciting,ekscytujący,/ɪkˈsaɪtɪŋ/,/ɪkˈsaɪtɪŋ/
1709,exclude,wykluczać,/ɪkˈskluːd/,/ɪkˈskluːd/
1710,excuse,wymówka,/ɪkˈskjuːs/ (noun),/ɪkˈskjuːs/ (noun)
1711,executive,dyrektor/kierownik,/ɪɡˈzekjətɪv/,/ɪɡˈzekjətɪv/
1712,exhibit,eksponat/wystawiać,/ɪɡˈzɪbɪt/,/ɪɡˈzɪbɪt/
1713,exhibition,wystawa,/ˌeksɪˈbɪʃən/,/ˌeksɪˈbɪʃən/
1714,exist,istnieć,/ɪɡˈzɪst/,/ɪɡˈzɪst/
1715,existence,istnienie,/ɪɡˈzɪstəns/,/ɪɡˈzɪstəns/
1716,exit,wyjście,/ˈeksɪt/,/ˈeɡzɪt/
1717,expand,rozszerzać,/ɪkˈspænd/,/ɪkˈspænd/
1718,expansion,ekspansja/rozwój,/ɪkˈspænʃən/,/ɪkˈspænʃən/
1719,expedition,wyprawa,/ˌekspəˈdɪʃən/,/ˌekspəˈdɪʃən/
1720,expense,wydatek,/ɪkˈspens/,/ɪkˈspens/
1721,expensive,drogi,/ɪkˈspensɪv/,/ɪkˈspensɪv/
1722,expert,ekspert,/ˈekspɜːt/,/ˈekspɜːrt/
1723,explain,wyjaśniać,/ɪkˈspleɪn/,/ɪkˈspleɪn/
1724,explanation,wyjaśnienie,/ˌekspləˈneɪʃən/,/ˌekspləˈneɪʃən/
1725,explode,eksplodować,/ɪkˈspləʊd/,/ɪkˈsploʊd/
1726,explore,odkrywać/badać,/ɪkˈsplɔː(r)/,/ɪkˈsplɔːr/
1727,explosion,eksplozja,/ɪkˈspləʊʒən/,/ɪkˈsploʊʒən/
1728,export,eksportować,/ɪkˈspɔːt/ (verb),/ˈekspɔːrt/ (noun)
1729,expose,eksponować/narażać,/ɪkˈspəʊz/,/ɪkˈspoʊz/
1730,express,wyrażać,/ɪkˈspres/,/ɪkˈspres/
1731,expression,wyrażenie,/ɪkˈspreʃən/,/ɪkˈspreʃən/
1732,extend,przedłużać/rozciągać,/ɪkˈstend/,/ɪkˈstend/
1733,extension,przedłużenie,/ɪkˈstenʃən/,/ɪkˈstenʃən/
1734,extensive,obszerny,/ɪkˈstensɪv/,/ɪkˈstensɪv/
1735,extent,zakres,/ɪkˈstent/,/ɪkˈstent/
1736,external,zewnętrzny,/ɪkˈstɜːnəl/,/ɪkˈstɜːrnəl/
1737,extra,dodatkowy,/ˈekstrə/,/ˈekstrə/
1738,extraordinary,niezwykły,/ɪkˈstrɔːdənəri/,/ɪkˈstrɔːrdəneri/
1739,extreme,ekstremalny,/ɪkˈstriːm/,/ɪkˈstriːm/
1740,facility,udogodnienie,/fəˈsɪləti/,/fəˈsɪləti/
1741,factor,czynnik,/ˈfæktə(r)/,/ˈfæktər/
1742,factory,fabryka,/ˈfæktəri/,/ˈfæktəri/
1743,fail,ponieść porażkę,/feɪl/,/feɪl/
1744,failure,porażka,/ˈfeɪljə(r)/,/ˈfeɪljər/
1745,faint,słaby/mdleć,/feɪnt/,/feɪnt/
1747,faith,wiara,/feɪθ/,/feɪθ/
1748,fake,fałszywy,/feɪk/,/feɪk/
1749,fame,sława,/feɪm/,/feɪm/
1750,familiar,znajomy,/fəˈmɪliə(r)/,/fəˈmɪliər/
1751,fancy,wymyślny/mieć ochotę,/ˈfænsi/,/ˈfænsi/
1752,fantastic,fantastyczny,/fænˈtæstɪk/,/fænˈtæstɪk/
1753,fare,opłata za przejazd,/feə(r)/,/fer/
1754,fascinating,fascynujący,/ˈfæsɪneɪtɪŋ/,/ˈfæsɪneɪtɪŋ/
1755,fashion,moda,/ˈfæʃən/,/ˈfæʃən/
1756,fasten,zapinać,/ˈfɑːsən/,/ˈfæsən/
1757,fault,wina/usterka,/fɔːlt/,/fɔːlt/
1758,favour,przysługa,/ˈfeɪvə(r)/,/ˈfeɪvər/
1759,favourite,ulubiony,/ˈfeɪvərɪt/,/ˈfeɪvərɪt/
1760,feature,cecha/funkcja,/ˈfiːtʃə(r)/,/ˈfiːtʃər/
1761,federal,federalny,/ˈfedərəl/,/ˈfedərəl/
1762,fee,opłata,/fiː/,/fiː/
